regional key;city;area in km²;population
110000000000;Berlin;891.12;3685265.0
020000000000;Hamburg;755.09;1862565.0
091620000000;München;310.70;1505005.0
053150000000;Köln;405.02;1024621.0
064120000000;Frankfurt am Main;248.31;756021.0
051110000000;Düsseldorf;217.41;618685.0
081110000000;Stuttgart;207.33;612663.0
147130000000;Leipzig;297.80;611850.0
059130000000;Dortmund;280.71;603462.0
040110000000;Bremen;318.20;586271.0
051130000000;Essen;210.34;574682.0
146120000000;Dresden;328.48;564904.0
095640000000;Nürnberg;186.44;529508.0
032410001001;Hannover;204.30;522131.0
051120000000;Duisburg;232.84;502270.0
059110000000;Bochum;145.66;358676.0
051240000000;Wuppertal;168.39;358193.0
057110000000;Bielefeld;258.83;331605.0
053140000000;Bonn;141.06;323336.0
082220000000;Mannheim;144.97;318035.0
082120000000;Karlsruhe;173.42;309050.0
055150000000;Münster;303.28;308258.0
097610000000;Augsburg;146.85;301105.0
064140000000;Wiesbaden;203.87;288850.0
055130000000;Gelsenkirchen;104.94;267930.0
051160000000;Mönchengladbach;170.47;267213.0
053340002002;Aachen;160.85;262670.0
031010000000;Braunschweig;192.70;252962.0
010020000000;Kiel;118.65;252668.0
145110000000;Chemnitz;221.03;245618.0
150030000000;Magdeburg;201.68;244329.0
083110000000;Freiburg im Breisgau;153.04;237460.0
051140000000;Krefeld;137.77;231406.0
150020000000;Halle (Saale);135.56;226767.0
073150000000;Mainz;97.73;224684.0
160510000000;Erfurt;269.91;218793.0
010030000000;Lübeck;214.19;216889.0
051190000000;Oberhausen;77.09;213646.0
130030000000;Rostock;181.36;205307.0
066110000000;Kassel;106.79;197230.0
059140000000;Hagen;160.45;190384.0
120540000000;Potsdam;188.24;184754.0
100410100100;Saarbrücken;167.52;182971.0
059150000000;Hamm;226.66;179968.0
073140000000;Ludwigshafen am Rhein;77.43;177222.0
034030000000;Oldenburg (Oldenburg);103.09;176614.0
051170000000;Mülheim an der Ruhr;91.28;173050.0
053160000000;Leverkusen;78.87;168581.0
064110000000;Darmstadt;122.07;167029.0
034040000000;Osnabrück;119.80;166057.0
051220000000;Solingen;89.54;165626.0
057740032032;Paderborn;179.59;156378.0
059160000000;Herne;51.42;155851.0
082210000000;Heidelberg;108.83;155756.0
051620024024;Neuss;99.52;154317.0
093620000000;Regensburg;80.86;151389.0
091610000000;Ingolstadt;133.35;141185.0
082310000000;Pforzheim;97.99;134912.0
096630000000;Würzburg;87.60;133258.0
064130000000;Offenbach am Main;44.88;132746.0
095630000000;Fürth;63.35;132036.0
081210000000;Heilbronn;99.89;131986.0
084210000000;Ulm;118.68;129882.0
031030000000;Wolfsburg;204.62;129560.0
031590016016;Göttingen;117.02;127259.0
084150061061;Reutlingen;87.04;118852.0
040120000000;Bremerhaven;101.41;118610.0
055120000000;Bottrop;100.61;118535.0
095620000000;Erlangen;76.96;115928.0
055620032032;Recklinghausen;66.50;115344.0
051200000000;Remscheid;74.52;113828.0
071110000000;Koblenz;105.25;113378.0
053780004004;Bergisch Gladbach;83.09;111361.0
160530000000;Jena;114.77;109725.0
031020000000;Salzgitter;224.49;104970.0
072110000000;Trier;117.06;104342.0
059700040040;Siegen;114.69;102685.0
051700024024;Moers;67.64;101503.0
057540008008;Gütersloh;112.02;100479.0
073120000000;Kaiserslautern;139.70;100426.0
032540021021;Hildesheim;92.29;98510.0
130040000000;Schwerin;130.52;98308.0
064350014014;Hanau;76.28;97956.0
010010000000;Flensburg;56.73;96326.0
081160019019;Esslingen am Neckar;46.43;96182.0
160520000000;Gera;152.18;95608.0
120520000000;Cottbus/Chóśebuz;165.61;95123.0
